msoa11cd,ladnm,Ring,Wealth_Decile_National,Typ_A_11,Typ_C_11,Casc_Inflow_Share_11,Ext_Arm_Share_11,leaf_11,Typ_A_21,Typ_C_21,Casc_Inflow_Share_21,Ext_Arm_Share_21,leaf_21,Genuine_Persistent
E02000194,Croydon,Outer,3,Symmetric,Lateral,0.6856010568031704,0.0,,Counter-led,Lateral,0.750788643533123,0.0,,False
E02000195,Croydon,Outer,5,Counter-led,Counter-led,0.2763819095477386,0.0,,Counter-led,Counter-led,0.2658662092624357,0.0,,False
E02000196,Croydon,Outer,4,Counter-led,Counter-led,0.4116331096196868,0.0,,Counter-led,Counter-led,0.383399209486166,0.0,,False
E02000197,Croydon,Outer,4,Counter-led,Counter-led,0.4893617021276595,0.0,,Counter-led,Counter-led,0.4777070063694267,0.0,,False
E02000198,Croydon,Outer,3,Counter-led,Lateral,0.7084078711985689,0.0,,Symmetric,Counter-led,0.6952380952380952,0.0,,False
E02000199,Croydon,Outer,4,Counter-led,Counter-led,0.437847866419295,0.0,,Counter-led,Counter-led,0.3274336283185841,0.0,,False
E02000200,Croydon,Outer,3,Symmetric,Symmetric,0.6197564276048715,0.0,,Counter-led,Counter-led,0.6717325227963525,0.0,,False
E02000201,Croydon,Outer,2,Cascade-led,Cascade-led,0.9307065217391304,0.0,inflow-driven,Counter-led,Counter-led,0.9394495412844036,0.0,,False
E02000202,Croydon,Outer,5,Symmetric,Counter-led,0.2435064935064935,0.0,,Counter-led,Counter-led,0.1872852233676976,0.0,,False
E02000203,Croydon,Outer,3,Symmetric,Lateral,0.7254901960784313,0.0,,Counter-led,Counter-led,0.6528497409326425,0.0,,False
E02000204,Croydon,Outer,5,Counter-led,Counter-led,0.2887864823348694,0.0,,Symmetric,Counter-led,0.2559171597633136,0.0,,False
E02000206,Croydon,Outer,3,Symmetric,Counter-led,0.6903914590747331,0.0,,Counter-led,Lateral,0.6831530139103554,0.0,,False
E02000207,Croydon,Outer,2,Counter-led,Counter-led,0.9467353951890034,0.0,,Counter-led,Counter-led,0.9721706864564008,0.0,,False
E02000208,Croydon,Outer,2,Cascade-led,Cascade-led,0.9580936729663106,0.0,inflow-driven,Counter-led,Counter-led,0.9636576787807736,0.0,,False
E02000209,Croydon,Outer,4,Counter-led,Counter-led,0.3736654804270463,0.0,,Counter-led,Counter-led,0.4586614173228346,0.0,,False
E02000210,Croydon,Outer,5,Counter-led,Counter-led,0.3784665579119086,0.0,,Counter-led,Counter-led,0.384070796460177,0.0,,False
E02000211,Croydon,Outer,8,Counter-led,Symmetric,0.161504424778761,0.37467018469656993,,Counter-led,Symmetric,0.132486388384755,0.48326359832635984,,False
E02000212,Croydon,Outer,3,Symmetric,Symmetric,0.7343065693430657,0.0,,Lateral,Counter-led,0.7175732217573222,0.0,,False
E02000213,Croydon,Outer,2,Symmetric,Cascade-led,0.9738903394255874,0.0,frame-sensitive inflow,Symmetric,Counter-led,0.9522591645353794,0.0,,False
E02000214,Croydon,Outer,7,Symmetric,Cascade-led,0.0539956803455723,0.3310502283105023,outflow: internal-majority,Counter-led,Cascade-led,0.0794297352342158,0.48008849557522126,outflow: internal-majority,False
E02000215,Croydon,Outer,4,Counter-led,Counter-led,0.6111535523300229,0.0,,Counter-led,Counter-led,0.5313432835820896,0.0,,False
E02000216,Croydon,Outer,7,Counter-led,Counter-led,0.0719640179910044,0.3360258481421648,,Counter-led,Cascade-led,0.0696721311475409,0.4522760646108664,outflow: internal-majority,False
E02000217,Croydon,Outer,3,Symmetric,Symmetric,0.8553191489361702,0.0,,Counter-led,Counter-led,0.7871536523929471,0.0,,False
E02000218,Croydon,Outer,4,Symmetric,Counter-led,0.4926686217008797,0.0,,Symmetric,Counter-led,0.684887459807074,0.0,,False
E02000219,Croydon,Outer,9,Symmetric,Cascade-led,0.0627376425855513,0.3935091277890467,outflow: internal-majority,Lateral,Cascade-led,0.1006423982869379,0.4666666666666667,outflow: internal-majority,False
E02000220,Croydon,Outer,3,Symmetric,Cascade-led,0.8514365802382621,0.0,frame-sensitive inflow,Counter-led,Counter-led,0.7783046828689982,0.0,,False
E02000221,Croydon,Outer,3,Symmetric,Counter-led,0.837171052631579,0.0,,Cascade-led,Counter-led,0.8233333333333334,0.0,,False
E02000222,Croydon,Outer,5,Counter-led,Counter-led,0.6577669902912622,0.0,,Counter-led,Counter-led,0.6236220472440945,0.0,,False
E02000223,Croydon,Outer,1,Symmetric,Symmetric,1.0,0.0,,Counter-led,Counter-led,1.0,0.0,,False
E02000224,Croydon,Outer,6,Counter-led,Lateral,0.3651115618661257,0.0,,Counter-led,Lateral,0.2595078299776286,0.0,,False
E02000225,Croydon,Outer,3,Counter-led,Counter-led,0.6219931271477663,0.0,,Symmetric,Counter-led,0.731404958677686,0.0,,False
E02000226,Croydon,Outer,9,Counter-led,Symmetric,0.0393996247654784,0.41015625,,Counter-led,Symmetric,0.0252918287937743,0.5429141716566867,,False
E02000227,Croydon,Outer,6,Counter-led,Lateral,0.3970893970893971,0.0,,Counter-led,Lateral,0.3289817232375979,0.0,,False
E02000228,Croydon,Outer,10,Counter-led,Symmetric,0.0,0.5275310834813499,,Counter-led,Cascade-led,0.0,0.5095986038394416,outflow: external-majority,False
