msoa21cd,canonical_msoa11,relation
E02000419,E02000419,unchanged
E02000420,E02000420,unchanged
E02000421,E02000421,unchanged
E02000422,E02000422,unchanged
E02000423,E02000423,unchanged
E02000424,E02000424,unchanged
E02000425,E02000425,unchanged
E02000426,E02000426,unchanged
E02000427,E02000427,unchanged
E02000428,E02000428,unchanged
E02000429,E02000429,unchanged
E02000430,E02000430,unchanged
E02000431,E02000431,unchanged
E02000432,E02000432,unchanged
E02000433,E02000433,unchanged
E02000434,E02000434,unchanged
E02000435,E02000435,unchanged
E02000436,E02000436,unchanged
E02000437,E02000437,unchanged
E02000438,E02000438,unchanged
E02000439,E02000439,unchanged
E02000440,E02000440,unchanged
E02000441,E02000441,unchanged
E02000442,E02000442,unchanged
E02000443,E02000443,unchanged
E02000444,E02000444,unchanged
E02000445,E02000445,unchanged
E02000447,E02000447,unchanged
E02000448,E02000448,unchanged
E02000449,E02000449,unchanged
E02000451,E02000451,unchanged
E02000452,E02000452,unchanged
E02000453,E02000453,unchanged
E02000454,E02000454,unchanged
E02000455,E02000455,unchanged
E02000456,E02000456,unchanged
E02000457,E02000457,unchanged
E02000459,E02000459,unchanged
E02000460,E02000460,unchanged
E02000461,E02000461,unchanged
E02000462,E02000462,unchanged
E02000463,E02000463,unchanged
E02000464,E02000464,unchanged
E02000465,E02000465,unchanged
E02000466,E02000466,unchanged
E02000467,E02000467,unchanged
E02000468,E02000468,unchanged
E02000469,E02000469,unchanged
E02000470,E02000470,unchanged
E02000471,E02000471,unchanged
E02000472,E02000472,unchanged
E02000473,E02000473,unchanged
E02000474,E02000474,unchanged
E02000475,E02000475,unchanged
E02000476,E02000476,unchanged
E02000477,E02000477,unchanged
E02000478,E02000478,unchanged
E02000479,E02000479,unchanged
E02000480,E02000480,unchanged
E02000481,E02000481,unchanged
E02000482,E02000482,unchanged
E02000483,E02000483,unchanged
E02000484,E02000484,unchanged
E02000485,E02000485,unchanged
E02000486,E02000486,unchanged
E02000487,E02000487,unchanged
E02000488,E02000488,unchanged
E02000489,E02000489,unchanged
E02000490,E02000490,unchanged
E02000491,E02000491,unchanged
E02000492,E02000492,unchanged
E02000493,E02000493,unchanged
E02000494,E02000494,unchanged
E02000495,E02000495,unchanged
E02000496,E02000496,unchanged
E02000497,E02000497,unchanged
E02000498,E02000498,unchanged
E02000499,E02000499,unchanged
E02000500,E02000500,unchanged
E02000501,E02000501,unchanged
E02000502,E02000502,unchanged
E02000503,E02000503,unchanged
E02000504,E02000504,unchanged
E02000506,E02000506,unchanged
E02000507,E02000507,unchanged
E02000508,E02000508,unchanged
E02000509,E02000509,unchanged
E02000510,E02000510,unchanged
E02000511,E02000511,unchanged
E02000512,E02000512,unchanged
E02000513,E02000513,unchanged
E02000514,E02000514,unchanged
E02000515,E02000515,unchanged
E02000516,E02000516,unchanged
E02000517,E02000517,unchanged
E02000518,E02000518,unchanged
E02000519,E02000519,unchanged
E02000520,E02000520,unchanged
E02000521,E02000521,unchanged
E02000522,E02000522,unchanged
E02000523,E02000523,unchanged
E02000524,E02000524,unchanged
E02000525,E02000525,unchanged
E02000526,E02000526,unchanged
E02000529,E02000529,unchanged
E02000530,E02000530,unchanged
E02000531,E02000531,unchanged
E02000532,E02000532,unchanged
E02000533,E02000533,unchanged
E02000534,E02000534,unchanged
E02000535,E02000535,unchanged
E02000536,E02000536,unchanged
E02000537,E02000537,unchanged
E02000538,E02000538,unchanged
E02000539,E02000539,unchanged
E02000540,E02000540,unchanged
E02000541,E02000541,unchanged
E02000542,E02000542,unchanged
E02000543,E02000543,unchanged
E02000544,E02000544,unchanged
E02000545,E02000545,unchanged
E02000546,E02000546,unchanged
E02000547,E02000547,unchanged
E02000548,E02000548,unchanged
E02000549,E02000549,unchanged
E02000550,E02000550,unchanged
E02000551,E02000551,unchanged
E02000552,E02000552,unchanged
E02000553,E02000553,unchanged
E02000554,E02000554,unchanged
E02000555,E02000555,unchanged
E02000556,E02000556,unchanged
E02000557,E02000557,unchanged
E02000558,E02000558,unchanged
E02000559,E02000559,unchanged
E02000560,E02000560,unchanged
E02000561,E02000561,unchanged
E02000562,E02000562,unchanged
E02000563,E02000563,unchanged
E02000564,E02000564,unchanged
E02000565,E02000565,unchanged
E02000566,E02000566,unchanged
E02000567,E02000567,unchanged
E02000568,E02000568,unchanged
E02000569,E02000569,unchanged
E02000570,E02000570,unchanged
E02000571,E02000571,unchanged
E02000572,E02000572,unchanged
E02000573,E02000573,unchanged
E02000574,E02000574,unchanged
E02000575,E02000575,unchanged
E02000576,E02000576,unchanged
E02000577,E02000577,unchanged
E02000578,E02000578,unchanged
E02000579,E02000579,unchanged
E02000580,E02000580,unchanged
E02000581,E02000581,unchanged
E02000582,E02000582,unchanged
E02000583,E02000583,unchanged
E02000584,E02000584,unchanged
E02000585,E02000585,unchanged
E02000586,E02000586,unchanged
E02000587,E02000587,unchanged
E02000588,E02000588,unchanged
E02000589,E02000589,unchanged
E02000590,E02000590,unchanged
E02000591,E02000591,unchanged
E02000592,E02000592,unchanged
E02000593,E02000593,unchanged
E02000594,E02000594,unchanged
E02000595,E02000595,unchanged
E02000596,E02000596,unchanged
E02000597,E02000597,unchanged
E02000598,E02000598,unchanged
E02000599,E02000599,unchanged
E02000600,E02000600,unchanged
E02000601,E02000601,unchanged
E02000602,E02000602,unchanged
E02000603,E02000603,unchanged
E02000604,E02000604,unchanged
E02000605,E02000605,unchanged
E02000606,E02000606,unchanged
E02000607,E02000607,unchanged
E02000608,E02000608,unchanged
E02000609,E02000609,unchanged
E02000610,E02000610,unchanged
E02000611,E02000611,unchanged
E02000612,E02000612,unchanged
E02000613,E02000613,unchanged
E02000614,E02000614,unchanged
E02000615,E02000615,unchanged
E02000616,E02000616,unchanged
E02000617,E02000617,unchanged
E02000619,E02000619,unchanged
E02000620,E02000620,unchanged
E02000621,E02000621,unchanged
E02000622,E02000622,unchanged
E02000623,E02000623,unchanged
E02000624,E02000624,unchanged
E02000625,E02000625,unchanged
E02000626,E02000626,unchanged
E02000627,E02000627,unchanged
E02000628,E02000628,unchanged
E02000629,E02000629,unchanged
E02000630,E02000630,unchanged
E02000631,E02000631,unchanged
E02000632,E02000632,unchanged
E02000633,E02000633,unchanged
E02000634,E02000634,unchanged
E02000635,E02000635,unchanged
E02000636,E02000636,unchanged
E02000637,E02000637,unchanged
E02000638,E02000638,unchanged
E02000639,E02000639,unchanged
E02000640,E02000640,unchanged
E02000641,E02000641,unchanged
E02000642,E02000642,unchanged
E02000643,E02000643,unchanged
E02000644,E02000644,unchanged
E02000645,E02000645,unchanged
E02000646,E02000646,unchanged
E02000647,E02000647,unchanged
E02000648,E02000648,unchanged
E02000649,E02000649,unchanged
E02000650,E02000650,unchanged
E02000651,E02000651,unchanged
E02000652,E02000652,unchanged
E02000653,E02000653,unchanged
E02000654,E02000654,unchanged
E02000655,E02000655,unchanged
E02000657,E02000657,unchanged
E02000658,E02000658,unchanged
E02000659,E02000659,unchanged
E02000660,E02000660,unchanged
E02000661,E02000661,unchanged
E02000662,E02000662,unchanged
E02000663,E02000663,unchanged
E02000665,E02000665,unchanged
E02000666,E02000666,unchanged
E02000667,E02000667,unchanged
E02000668,E02000668,unchanged
E02000669,E02000669,unchanged
E02000670,E02000670,unchanged
E02000671,E02000671,unchanged
E02000672,E02000672,unchanged
E02000673,E02000673,unchanged
