msoa11cd,ladnm,Wealth_Decile,IMD_2010,IMD_2019,IMD_Change,Inflow_Wealthier,Outflow_Poorer,Total_Inflow,Total_Outflow,Net_Cascade,Cascade_Ratio,Pct_Inflow_Wealthier
E02000089,Bexley,10,7.3393982,7.921200000000001,0.5818018000000009,0.0,172.0,418.0,304.0,-172.0,0.0,0.0
E02000090,Bexley,9,11.8468238,11.2852,-0.5616237999999996,148.0,302.0,807.0,767.0,-154.0,0.4900662251655629,18.339529120198264
E02000091,Bexley,9,12.406530833333333,12.473333333333334,0.06680250000000143,157.0,252.0,770.0,605.0,-95.0,0.623015873015873,20.38961038961039
E02000092,Bexley,4,30.931887500000002,30.708,-0.22388750000000357,257.0,30.0,371.0,230.0,227.0,8.566666666666666,69.2722371967655
E02000093,Brent,6,21.03952,18.438666666666666,-2.6008533333333332,407.0,251.0,1062.0,848.0,156.0,1.6215139442231075,38.32391713747646
E02000094,Brent,6,23.73725,19.259,-4.478249999999999,200.0,278.0,775.0,724.0,-78.0,0.7194244604316546,25.806451612903224
E02000095,Brent,5,25.5073625,19.331200000000003,-6.176162499999997,384.0,149.0,696.0,845.0,235.0,2.577181208053691,55.172413793103445
E02000096,Brent,8,14.772827999999999,11.096,-3.6768279999999987,57.0,234.0,424.0,438.0,-177.0,0.24358974358974358,13.443396226415095
E02000097,Brent,6,23.270908,19.3886,-3.8823079999999983,139.0,266.0,675.0,648.0,-127.0,0.5225563909774437,20.59259259259259
E02000098,Brent,5,24.955602,22.6458,-2.3098019999999977,251.0,168.0,548.0,758.0,83.0,1.494047619047619,45.8029197080292
E02000099,Brent,6,22.550406000000002,17.278,-5.272406000000004,263.0,274.0,929.0,770.0,-11.0,0.9598540145985401,28.31001076426265
E02000100,Brent,8,16.73385,11.792399999999999,-4.9414500000000015,63.0,633.0,550.0,910.0,-570.0,0.0995260663507109,11.454545454545455
E02000101,Brent,3,34.598361999999995,26.567,-8.031361999999994,497.0,83.0,718.0,782.0,414.0,5.9879518072289155,69.22005571030641
E02000102,Brent,3,35.906956666666666,33.9805,-1.9264566666666667,221.0,109.0,536.0,655.0,112.0,2.0275229357798166,41.23134328358209
E02000103,Brent,4,30.482774,28.742399999999996,-1.7403740000000028,278.0,284.0,801.0,920.0,-6.0,0.9788732394366197,34.706616729088644
E02000104,Brent,6,22.458765,22.933500000000002,0.47473500000000257,100.0,277.0,511.0,604.0,-177.0,0.36101083032490977,19.569471624266143
E02000105,Brent,5,26.175617999999996,21.482999999999997,-4.6926179999999995,394.0,224.0,833.0,888.0,170.0,1.7589285714285714,47.29891956782713
E02000106,Brent,3,33.014026666666666,33.08533333333333,0.07130666666666485,438.0,310.0,934.0,1369.0,128.0,1.4129032258064516,46.895074946466806
E02000107,Brent,4,30.496498333333335,24.721,-5.775498333333335,527.0,411.0,1269.0,1475.0,116.0,1.2822384428223845,41.52876280535855
E02000108,Brent,5,26.6843475,20.7275,-5.956847500000002,245.0,151.0,529.0,631.0,94.0,1.6225165562913908,46.31379962192816
E02000109,Brent,6,22.8960975,21.403499999999998,-1.4925975000000022,0.0,0.0,0.0,0.0,0.0,,
E02000110,Brent,5,26.642737999999998,20.9468,-5.695937999999998,190.0,658.0,842.0,1149.0,-468.0,0.2887537993920973,22.565320665083135
E02000111,Brent,5,26.860002,22.2242,-4.635802000000002,264.0,167.0,975.0,1308.0,97.0,1.5808383233532934,27.076923076923077
E02000112,Brent,5,25.880442,23.1066,-2.7738419999999984,365.0,288.0,1467.0,1244.0,77.0,1.2673611111111112,24.880708929788682
E02000113,Brent,1,49.901264999999995,45.2075,-4.693764999999992,415.0,0.0,546.0,706.0,415.0,,76.007326007326
E02000114,Brent,4,32.001286,24.401999999999997,-7.599286000000003,566.0,482.0,1339.0,1375.0,84.0,1.1742738589211619,42.27035100821509
E02000115,Brent,4,30.280287999999995,24.021,-6.259287999999994,403.0,289.0,1063.0,1109.0,114.0,1.3944636678200693,37.91157102539981
E02000116,Brent,1,42.751262499999996,34.450500000000005,-8.30076249999999,721.0,0.0,1001.0,1045.0,721.0,,72.02797202797203
E02000117,Brent,1,45.537385,40.78516666666667,-4.752218333333332,663.0,0.0,888.0,1193.0,663.0,,74.66216216216216
E02000118,Brent,5,27.527224,23.023400000000002,-4.503823999999998,285.0,190.0,962.0,1116.0,95.0,1.5,29.625779625779625
E02000119,Brent,1,54.57331,46.618,-7.955309999999997,678.0,0.0,927.0,707.0,678.0,,73.13915857605178
E02000120,Brent,3,33.164776,25.038999999999998,-8.125776000000005,763.0,338.0,1344.0,1538.0,425.0,2.257396449704142,56.770833333333336
E02000121,Brent,6,23.349946,22.3264,-1.0235459999999996,153.0,570.0,1005.0,1247.0,-417.0,0.26842105263157895,15.223880597014924
E02000122,Brent,7,20.877672,17.1472,-3.730471999999999,108.0,600.0,831.0,800.0,-492.0,0.18,12.996389891696749
E02000123,Brent,2,42.027354,36.255428571428574,-5.7719254285714285,789.0,406.0,1398.0,1986.0,383.0,1.9433497536945812,56.437768240343345
E02000124,Brent,4,29.707411999999998,21.227600000000002,-8.479811999999995,524.0,368.0,1161.0,1221.0,156.0,1.423913043478261,45.13350559862187
E02000125,Brent,5,25.365714999999998,18.526500000000002,-6.839214999999996,309.0,617.0,955.0,1180.0,-308.0,0.5008103727714749,32.35602094240838
E02000126,Brent,1,55.265097499999996,38.17575,-17.089347499999995,426.0,0.0,679.0,972.0,426.0,,62.73932253313696
E02000127,Bromley,4,32.08927833333333,30.972833333333337,-1.1164449999999952,310.0,100.0,551.0,496.0,210.0,3.1,56.26134301270418
E02000128,Bromley,8,13.816718600000002,11.7888,-2.0279186000000013,172.0,118.0,478.0,393.0,54.0,1.4576271186440677,35.98326359832636
E02000130,Bromley,7,19.3908028,17.303800000000003,-2.087002799999997,116.0,328.0,710.0,737.0,-212.0,0.35365853658536583,16.338028169014084
E02000131,Bromley,4,28.737124,22.157,-6.580124000000001,652.0,258.0,1179.0,1110.0,394.0,2.5271317829457365,55.3011026293469
E02000132,Bromley,8,15.644305800000001,15.1208,-0.5235058000000024,295.0,320.0,1032.0,788.0,-25.0,0.921875,28.58527131782946
E02000133,Bromley,10,7.406655333333333,6.601166666666667,-0.8054886666666663,0.0,444.0,824.0,701.0,-444.0,0.0,0.0
E02000134,Bromley,8,16.95125857142857,15.913285714285715,-1.0379728571428561,370.0,428.0,1169.0,1060.0,-58.0,0.8644859813084113,31.65098374679213
E02000135,Bromley,2,38.512985,33.761833333333335,-4.751151666666665,663.0,27.0,831.0,840.0,636.0,24.555555555555557,79.78339350180505
E02000136,Bromley,7,19.23939825,19.95075,0.7113517499999986,200.0,82.0,366.0,284.0,118.0,2.4390243902439024,54.644808743169406
E02000137,Bromley,9,10.9402598,8.3874,-2.5528598000000002,177.0,308.0,674.0,605.0,-131.0,0.5746753246753247,26.26112759643917
E02000138,Bromley,10,7.756,6.3522,-1.4038000000000004,0.0,454.0,767.0,673.0,-454.0,0.0,0.0
E02000139,Bromley,8,14.772203999999999,12.877600000000001,-1.8946039999999975,171.0,218.0,674.0,558.0,-47.0,0.7844036697247706,25.370919881305635
E02000140,Bromley,2,36.974464,35.0806,-1.8938640000000007,390.0,13.0,463.0,358.0,377.0,30.0,84.23326133909286
E02000141,Bromley,7,18.02671,15.5566,-2.470110000000002,143.0,281.0,582.0,527.0,-138.0,0.5088967971530249,24.570446735395187
E02000142,Bromley,10,8.674638,8.148,-0.5266380000000002,0.0,332.0,632.0,516.0,-332.0,0.0,0.0
E02000144,Bromley,10,10.0622624,8.488800000000001,-1.5734623999999986,0.0,511.0,1026.0,867.0,-511.0,0.0,0.0
E02000145,Bromley,3,36.215162,33.8994,-2.3157619999999994,311.0,61.0,476.0,493.0,250.0,5.098360655737705,65.33613445378151
E02000146,Bromley,9,10.4815004,9.8938,-0.5877003999999992,267.0,225.0,844.0,551.0,42.0,1.1866666666666668,31.635071090047397
E02000147,Bromley,10,4.436462000000001,4.8344000000000005,0.3979379999999999,0.0,253.0,481.0,452.0,-253.0,0.0,0.0
E02000148,Bromley,10,6.8113985,7.04075,0.22935149999999993,0.0,207.0,397.0,325.0,-207.0,0.0,0.0
E02000149,Bromley,6,23.347192,23.1098,-0.23739199999999983,242.0,72.0,465.0,319.0,170.0,3.361111111111111,52.04301075268817
E02000150,Bromley,9,12.411059400000001,11.725399999999999,-0.6856594000000023,149.0,225.0,501.0,459.0,-76.0,0.6622222222222223,29.740518962075846
E02000151,Bromley,10,4.6379668,4.0624,-0.5755667999999998,0.0,176.0,384.0,335.0,-176.0,0.0,0.0
E02000152,Bromley,6,23.666175000000003,23.090249999999997,-0.5759250000000051,291.0,81.0,496.0,410.0,210.0,3.5925925925925926,58.66935483870967
E02000153,Bromley,10,5.990084,6.0548,0.06471599999999977,0.0,144.0,395.0,295.0,-144.0,0.0,0.0
E02000154,Bromley,9,10.6608524,10.9152,0.2543476000000009,159.0,273.0,602.0,530.0,-114.0,0.5824175824175825,26.411960132890368
E02000155,Bromley,8,17.05423,16.991999999999997,-0.062230000000003116,163.0,131.0,447.0,349.0,32.0,1.2442748091603053,36.46532438478747
E02000156,Bromley,10,7.36225575,6.667000000000001,-0.6952557499999994,0.0,353.0,717.0,636.0,-353.0,0.0,0.0
E02000157,Bromley,10,5.0897255999999995,5.286,0.19627440000000007,0.0,200.0,479.0,355.0,-200.0,0.0,0.0
E02000158,Bromley,7,20.610677000000003,16.8226,-3.7880770000000012,192.0,102.0,417.0,300.0,90.0,1.8823529411764706,46.043165467625904
E02000159,Bromley,10,7.088743,7.1615,0.07275700000000018,0.0,189.0,403.0,333.0,-189.0,0.0,0.0
E02000160,Bromley,10,7.6083558,8.0166,0.4082442000000004,0.0,135.0,463.0,310.0,-135.0,0.0,0.0
E02000161,Bromley,10,4.3611484,5.3046,0.9434515999999995,0.0,207.0,505.0,412.0,-207.0,0.0,0.0
E02000162,Bromley,9,13.1906945,14.27675,1.0860555000000005,173.0,104.0,435.0,309.0,69.0,1.6634615384615385,39.770114942528735
E02000163,Bromley,10,7.225649,7.639799999999999,0.4141509999999995,0.0,177.0,436.0,291.0,-177.0,0.0,0.0
E02000165,Bromley,10,9.138611000000001,8.942,-0.19661100000000076,0.0,170.0,385.0,290.0,-170.0,0.0,0.0
E02000166,Camden,6,22.5638002,20.874599999999997,-1.689200200000002,189.0,302.0,634.0,616.0,-113.0,0.6258278145695364,29.81072555205047
E02000167,Camden,9,10.4702474,6.3974,-4.0728474,26.0,525.0,892.0,860.0,-499.0,0.049523809523809526,2.914798206278027
E02000168,Camden,6,23.493376,16.310200000000002,-7.183176,202.0,559.0,897.0,942.0,-357.0,0.3613595706618962,22.519509476031217
E02000169,Camden,9,11.568076,5.9858,-5.582275999999999,10.0,532.0,822.0,825.0,-522.0,0.018796992481203006,1.2165450121654502
E02000170,Camden,8,16.1116634,12.6458,-3.4658634000000017,99.0,749.0,1042.0,1105.0,-650.0,0.1321762349799733,9.500959692898272
E02000171,Camden,7,18.520084,14.2994,-4.220684,221.0,464.0,800.0,788.0,-243.0,0.47629310344827586,27.625
E02000172,Camden,2,37.325093333333335,29.5065,-7.818593333333336,669.0,82.0,911.0,1058.0,587.0,8.158536585365853,73.43578485181119
E02000173,Camden,8,16.3436126,8.898399999999999,-7.445212600000001,236.0,570.0,1030.0,1137.0,-334.0,0.41403508771929826,22.9126213592233
E02000174,Camden,4,31.470263999999997,21.8682,-9.602063999999995,428.0,386.0,934.0,969.0,42.0,1.1088082901554404,45.82441113490364
E02000175,Camden,6,21.415861999999997,14.421000000000001,-6.994861999999996,541.0,602.0,1408.0,1440.0,-61.0,0.8986710963455149,38.42329545454545
E02000176,Camden,9,12.8770125,8.01225,-4.864762499999999,29.0,644.0,803.0,852.0,-615.0,0.04503105590062112,3.61145703611457
E02000177,Camden,3,33.513234,27.0726,-6.440633999999996,538.0,203.0,922.0,1059.0,335.0,2.6502463054187193,58.35140997830802
E02000178,Camden,4,30.59346,26.2934,-4.300060000000002,659.0,421.0,1283.0,1437.0,238.0,1.5653206650831355,51.36399064692127
E02000179,Camden,6,22.051255,16.033,-6.018255,256.0,326.0,543.0,713.0,-70.0,0.7852760736196319,47.14548802946593
E02000180,Camden,5,28.134985999999998,24.200599999999998,-3.934386,372.0,572.0,1061.0,1134.0,-200.0,0.6503496503496503,35.061262959472195
E02000181,Camden,8,17.14143,12.512200000000002,-4.629229999999998,136.0,758.0,1200.0,1166.0,-622.0,0.17941952506596306,11.333333333333332
E02000182,Camden,7,20.5076875,14.29125,-6.2164375,266.0,366.0,907.0,820.0,-100.0,0.726775956284153,29.32745314222712
E02000183,Camden,7,20.6159642,17.6602,-2.955764200000001,129.0,420.0,836.0,818.0,-291.0,0.30714285714285716,15.430622009569378
E02000184,Camden,3,34.860687999999996,30.954999999999995,-3.9056880000000014,750.0,340.0,1254.0,1308.0,410.0,2.2058823529411766,59.80861244019139
E02000185,Camden,3,35.816838000000004,29.928199999999997,-5.888638000000007,611.0,184.0,973.0,1015.0,427.0,3.3206521739130435,62.79547790339157
E02000186,Camden,4,30.65119,25.692,-4.9591899999999995,426.0,342.0,962.0,937.0,84.0,1.2456140350877194,44.28274428274428
E02000187,Camden,2,39.63655,34.4636,-5.17295,645.0,111.0,907.0,935.0,534.0,5.8108108108108105,71.1135611907387
E02000188,Camden,3,33.264573999999996,29.1572,-4.1073739999999965,375.0,224.0,696.0,908.0,151.0,1.6741071428571428,53.879310344827594
E02000189,Camden,5,27.6755725,28.470499999999998,0.7949274999999965,0.0,0.0,0.0,0.0,0.0,,
E02000190,Camden,5,24.229286,23.6672,-0.5620859999999972,0.0,0.0,0.0,0.0,0.0,,
E02000191,Camden,7,18.833225,14.919,-3.9142249999999983,200.0,1177.0,928.0,1619.0,-977.0,0.16992353440951571,21.551724137931032
E02000192,Camden,4,30.4120775,23.13075,-7.2813275,277.0,206.0,620.0,591.0,71.0,1.3446601941747574,44.67741935483871
E02000193,Camden,6,23.6071975,17.54775,-6.059447500000001,258.0,406.0,821.0,810.0,-148.0,0.6354679802955665,31.425091352009744
E02000194,Croydon,5,27.331702,23.436200000000003,-3.895501999999997,279.0,263.0,942.0,840.0,16.0,1.0608365019011408,29.617834394904456
E02000195,Croydon,7,18.694058,15.3362,-3.3578579999999985,82.0,416.0,586.0,662.0,-334.0,0.1971153846153846,13.993174061433447
E02000196,Croydon,5,25.6604575,24.15025,-1.5102075,225.0,248.0,616.0,678.0,-23.0,0.907258064516129,36.52597402597403
E02000197,Croydon,6,21.566458,20.456799999999998,-1.1096580000000031,140.0,346.0,603.0,717.0,-206.0,0.4046242774566474,23.217247097844112
E02000198,Croydon,4,29.775682,31.121999999999996,1.3463179999999966,409.0,190.0,743.0,684.0,219.0,2.1526315789473682,55.047106325706594
E02000199,Croydon,6,22.961164,21.589,-1.3721640000000015,120.0,365.0,595.0,705.0,-245.0,0.3287671232876712,20.168067226890756
E02000200,Croydon,5,27.10283,26.5488,-0.5540300000000009,294.0,328.0,857.0,802.0,-34.0,0.8963414634146342,34.305717619603264
E02000201,Croydon,3,35.58698,32.0546,-3.5323799999999963,425.0,103.0,660.0,720.0,322.0,4.12621359223301,64.39393939393939
E02000202,Croydon,7,17.792793333333332,21.2575,3.464706666666668,50.0,462.0,636.0,753.0,-412.0,0.10822510822510822,7.861635220125786
E02000203,Croydon,4,29.76402,31.612199999999994,1.8481799999999957,342.0,200.0,639.0,803.0,142.0,1.71,53.52112676056338
