msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_National,IMD_Pctile_Change,Phase2_Extreme,Dom_A_11,CDS_A_11,Typ_A_11,Dom_B_11,CDS_B_11,Typ_B_11,Dom_C_11,CDS_C_11,Typ_C_11,switch_A2B_11,switch_B2C_11,switch_A2C_11,Dom_A_21,CDS_A_21,Typ_A_21,Dom_B_21,CDS_B_21,Typ_B_21,Dom_C_21,CDS_C_21,Typ_C_21,switch_A2B_21,switch_B2C_21,switch_A2C_21
E02000802,Richmond upon Thames,10,9,0.0091556459816887,False,0.4493392070484581,0.4503968253968254,Lateral,0.5198902606310014,0.7232142857142857,Lateral,0.5667550839964633,0.8021276595744681,Cascade-led,False,True,True,0.4229166666666666,0.5257393209200438,Lateral,0.46870653685674546,0.787513691128149,Counter-led,0.5826086956521739,0.8670322138450994,Cascade-led,True,True,True
E02000803,Richmond upon Thames,8,6,-0.1342828077314343,False,0.582302568981922,0.9528558476881231,Cascade-led,0.5796418473138548,0.9619220308250227,Cascade-led,0.5796418473138548,0.6585971446306642,Lateral,False,True,True,0.5311398354876615,0.944506104328524,Cascade-led,0.5297549591598599,0.951165371809101,Cascade-led,0.5297549591598599,0.5675496688741721,Lateral,False,True,True
E02000804,Richmond upon Thames,10,9,0.0122075279755849,False,0.3844797178130511,0.4496431403647898,Lateral,0.4365482233502538,0.7811260904044409,Counter-led,0.4818481848184818,0.8458961474036851,Symmetric,True,True,True,0.3925049309664694,0.4638609332113449,Lateral,0.4260485651214128,0.8289112534309241,Counter-led,0.5443708609271524,0.8898055391868003,Cascade-led,True,True,True
E02000805,Richmond upon Thames,10,8,0.0132248219735503,True,0.496900826446281,0.567741935483871,Lateral,0.49159970781592405,0.8029325513196481,Symmetric,0.5058664259927798,0.8683385579937304,Symmetric,True,False,True,0.4955300127713921,0.5698689956331878,Lateral,0.5089126559714795,0.8165938864628821,Symmetric,0.6168322007318349,0.8836027713625866,Cascade-led,True,True,True
E02000806,Richmond upon Thames,10,9,0.0040691759918616,False,0.4319444444444444,0.650994575045208,Lateral,0.462800875273523,0.8264014466546112,Counter-led,0.5421455938697318,0.8907849829351536,Cascade-led,True,True,True,0.4078498293515358,0.5973496432212029,Lateral,0.4468354430379747,0.8053007135575942,Counter-led,0.575619295958279,0.8892753623188406,Cascade-led,True,True,True
E02000807,Southwark,8,6,0.0254323499491352,False,0.4910759816420194,0.9423354156655456,Symmetric,0.48419468138484695,0.9577126381547333,Symmetric,0.4841946813848469,0.7271068952936884,Lateral,False,True,True,0.4906033630069238,0.9400278940027894,Symmetric,0.4877450980392157,0.9483960948396095,Symmetric,0.4877450980392157,0.6593406593406593,Lateral,False,True,True
E02000808,Southwark,6,4,0.0457782299084434,True,0.5698924731182796,0.8666666666666667,Cascade-led,0.5701943844492441,0.8297491039426523,Cascade-led,0.6002985074626865,0.8758169934640523,Cascade-led,False,False,False,0.5250800426894343,0.8401075911536162,Cascade-led,0.5353535353535354,0.8580394500896593,Cascade-led,0.5411868910540301,0.9048286916449609,Cascade-led,False,False,False
E02000809,Southwark,4,3,0.3509664292980671,False,0.5097502565856996,0.8655611489487711,Symmetric,0.5121056493030081,0.8072253479419603,Symmetric,0.5422755741127349,0.8547847423600268,Cascade-led,False,True,True,0.5,0.0,Lateral,0.5,0.0,Lateral,0.5,0.0,Lateral,False,False,False
E02000810,Southwark,3,2,0.0590030518819938,False,0.5268698060941829,0.8407079646017699,Cascade-led,0.5215827338129496,0.6474149976711691,Lateral,0.544468546637744,0.708958093041138,Lateral,True,False,True,0.4843501326259947,0.8771521637971149,Symmetric,0.4798657718120805,0.693345742205677,Lateral,0.4510759236703207,0.7889173606662396,Counter-led,True,True,True
E02000812,Southwark,4,3,-0.0874872838250254,False,0.5650671785028791,0.856626109832292,Cascade-led,0.5648148148148148,0.8168365669187767,Cascade-led,0.5892204628501827,0.8549856808122884,Cascade-led,False,False,False,0.5142475512021372,0.8770011714174151,Symmetric,0.5146002872187649,0.815696993361968,Symmetric,0.4815604998476074,0.8742339461763923,Symmetric,False,False,False
