msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21
E02000052,Barnet,8,8,16.896451666666668,12.220500000000001,-4.675951666666666,183.0,563.0,1068,922,1990,746.0,51.77336683417085,-380.0,17.134831460674157,194.0,537.0,959.0,951.0,1910.0,731.0,54.5434554973822,-343.0,20.229405630865486
E02000053,Barnet,6,6,21.248153333333335,20.275399999999998,-0.9727533333333369,390.0,311.0,876,817,1693,701.0,71.64205552274069,79.0,44.52054794520548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02000054,Barnet,8,7,15.1233975,16.443,1.319602500000002,139.0,443.0,729,750,1479,582.0,41.6342123056119,-304.0,19.06721536351166,151.0,503.0,765.0,849.0,1614.0,654.0,47.058859975216855,-352.0,19.73856209150327
E02000055,Barnet,7,7,18.198875,15.539000000000001,-2.6598749999999995,570.0,454.0,1091,1188,2279,1024.0,113.54980254497586,116.0,52.24564619615032,485.0,558.0,1389.0,1535.0,2924.0,1043.0,92.5547195622435,-73.0,34.91720662347012
E02000056,Barnet,10,10,9.041926,8.118,-0.9239259999999998,0.0,612.0,729,684,1413,612.0,0.0,-612.0,0.0,0.0,549.0,746.0,731.0,1477.0,549.0,0.0,-549.0,0.0
E02000057,Barnet,8,8,15.863715000000001,13.831,-2.0327150000000014,185.0,364.0,691,714,1405,549.0,47.928825622775804,-179.0,26.772793053545584,173.0,448.0,775.0,835.0,1610.0,621.0,48.13913043478261,-275.0,22.322580645161292
E02000058,Barnet,10,9,10.285124833333333,10.081333333333333,-0.20379149999999946,0.0,872.0,948,966,1914,872.0,0.0,-872.0,0.0,0.0,745.0,944.0,920.0,1864.0,745.0,0.0,-745.0,0.0
E02000059,Barnet,5,5,24.816316666666665,22.362666666666666,-2.4536499999999997,668.0,215.0,1011,1015,2026,883.0,70.88845014807502,453.0,66.07319485657764,547.0,240.0,1072.0,1215.0,2287.0,787.0,57.402710975076516,307.0,51.026119402985074
E02000060,Barnet,9,8,12.445101666666666,15.246833333333333,2.801731666666667,122.0,700.0,963,996,1959,822.0,43.593670239918325,-578.0,12.668743509865005,94.0,588.0,949.0,1147.0,2096.0,682.0,26.370229007633586,-494.0,9.905163329820864
E02000061,Barnet,9,8,11.763913200000001,13.7724,2.0084867999999982,92.0,681.0,1017,966,1983,773.0,31.594553706505295,-589.0,9.04621435594887,101.0,669.0,1080.0,1113.0,2193.0,770.0,30.81121751025992,-568.0,9.351851851851851
E02000062,Barnet,4,2,30.03649,33.443999999999996,3.407509999999995,476.0,129.0,722,573,1295,605.0,47.41621621621621,347.0,65.92797783933518,273.0,142.0,551.0,718.0,1269.0,415.0,30.548463356973997,131.0,49.546279491833026
E02000063,Barnet,7,5,20.5336675,22.8265,2.2928324999999994,194.0,414.0,682,712,1394,608.0,57.6154949784792,-220.0,28.445747800586513,163.0,390.0,577.0,773.0,1350.0,553.0,47.08888888888889,-227.0,28.249566724436743
E02000064,Barnet,6,5,23.0265525,22.33325,-0.6933025000000015,400.0,277.0,730,669,1399,677.0,79.19942816297355,123.0,54.794520547945204,265.0,285.0,678.0,721.0,1399.0,550.0,53.98498927805576,-20.0,39.08554572271387
E02000065,Bexley,6,6,23.954655000000002,20.6815,-3.2731550000000027,81.0,475.0,670,626,1296,556.0,29.6875,-394.0,12.08955223880597,70.0,333.0,475.0,477.0,952.0,403.0,24.485294117647058,-263.0,14.736842105263156
E02000066,Bexley,4,3,32.600928333333336,28.73,-3.8709283333333353,280.0,271.0,697,775,1472,551.0,51.54891304347826,9.0,40.17216642754663,195.0,192.0,477.0,545.0,1022.0,387.0,36.634050880626226,3.0,40.88050314465409
E02000067,Bexley,5,4,27.705133999999997,25.4846,-2.220533999999997,274.0,245.0,737,589,1326,519.0,50.625942684766216,29.0,37.177747625508815,297.0,258.0,744.0,620.0,1364.0,555.0,56.17741935483871,39.0,39.91935483870967
E02000068,Bexley,4,3,28.9580125,28.070999999999998,-0.8870125000000009,255.0,142.0,532,484,1016,397.0,35.639763779527556,113.0,47.93233082706767,227.0,164.0,569.0,590.0,1159.0,391.0,32.120793787748056,63.0,39.894551845342704
E02000069,Bexley,7,6,20.2833525,19.387999999999998,-0.8953525000000013,133.0,189.0,392,313,705,322.0,35.65531914893617,-56.0,33.92857142857143,121.0,251.0,545.0,403.0,948.0,372.0,32.03691983122363,-130.0,22.201834862385322
E02000070,Bexley,8,8,13.6237608,13.2614,-0.3623607999999994,77.0,202.0,441,342,783,279.0,19.86462324393359,-125.0,17.46031746031746,105.0,148.0,438.0,310.0,748.0,253.0,20.77540106951872,-43.0,23.972602739726025
E02000071,Bexley,8,7,17.2204168,17.6524,0.43198320000000123,91.0,213.0,405,364,769,304.0,25.20546163849155,-122.0,22.469135802469136,86.0,208.0,413.0,360.0,773.0,294.0,23.141009055627425,-122.0,20.823244552058114
E02000072,Bexley,3,2,34.38175714285715,31.800857142857144,-2.5809000000000033,541.0,29.0,706,644,1350,570.0,11.621481481481482,512.0,76.62889518413598,510.0,48.0,879.0,625.0,1504.0,558.0,16.27659574468085,462.0,58.02047781569966
E02000073,Bexley,10,10,8.510438285714285,8.347428571428571,-0.16300971428571387,0.0,259.0,430,345,775,259.0,0.0,-259.0,0.0,0.0,264.0,435.0,369.0,804.0,264.0,0.0,-264.0,0.0
E02000074,Bexley,4,3,30.925378000000002,29.85,-1.0753780000000006,254.0,113.0,443,383,826,367.0,34.74818401937046,141.0,57.33634311512416,188.0,80.0,381.0,321.0,702.0,268.0,21.424501424501425,108.0,49.343832020997375
E02000075,Bexley,10,10,9.4872812,9.1746,-0.3126812000000001,0.0,171.0,273,228,501,171.0,0.0,-171.0,0.0,0.0,236.0,361.0,299.0,660.0,236.0,0.0,-236.0,0.0
E02000077,Bexley,8,8,14.3356422,12.4078,-1.9278422000000006,136.0,129.0,387,323,710,265.0,24.70985915492958,7.0,35.14211886304909,110.0,131.0,477.0,399.0,876.0,241.0,16.449771689497716,-21.0,23.060796645702304
E02000078,Bexley,9,9,11.110277,10.4048,-0.7054770000000001,24.0,164.0,282,228,510,188.0,7.7176470588235295,-140.0,8.51063829787234,49.0,182.0,411.0,277.0,688.0,231.0,12.962209302325581,-133.0,11.922141119221411
E02000079,Bexley,9,8,12.863132799999999,12.970400000000001,0.10726720000000256,135.0,227.0,544,461,1005,362.0,30.492537313432837,-92.0,24.816176470588236,129.0,265.0,762.0,522.0,1284.0,394.0,26.623831775700936,-136.0,16.92913385826772
