msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000474,Havering,7,-0.1068158697863682,Lateral,0.4414758269720101,0.7782178217821782,concordant,Counter-led,0.3833543505674653,0.8034447821681864,concordant
E02000475,Havering,9,-0.0172939979654119,Counter-led,0.4107142857142857,0.8109028960817717,concordant,Counter-led,0.4017199017199017,0.8051434223541049,concordant
E02000476,Havering,5,-0.0193285859613428,Symmetric,0.484181568088033,0.9368556701030928,concordant,Counter-led,0.4484641638225256,0.945771465461588,concordant
E02000477,Havering,10,0.0081383519837232,Counter-led,0.4327044025157233,0.8833333333333333,concordant,Counter-led,0.382640586797066,0.8674443266171792,concordant
E02000478,Havering,10,-0.0040691759918616,Counter-led,0.4229828850855746,0.8503118503118503,concordant,Lateral,0.3687707641196013,0.7838541666666666,concordant
E02000479,Havering,7,-0.0752797558494404,Counter-led,0.4016172506738544,0.8522205206738132,concordant,Counter-led,0.4047244094488189,0.8472314876584389,concordant
E02000480,Havering,7,-0.1495422177009155,Counter-led,0.4182648401826484,0.8171641791044776,concordant,Counter-led,0.3754491017964071,0.85334695963209,concordant
E02000481,Havering,10,-0.034587995930824,Lateral,0.3785310734463277,0.7209775967413442,concordant,Lateral,0.3478260869565217,0.7356902356902357,concordant
E02000482,Havering,10,-0.0010172939979654,Lateral,0.4367088607594936,0.6345381526104418,concordant,Lateral,0.3927492447129909,0.6867219917012448,concordant
E02000483,Havering,8,-0.0152594099694811,Counter-led,0.4055068836045056,0.923699421965318,divergent,Counter-led,0.417391304347826,0.9252873563218392,divergent
E02000484,Havering,9,-0.0478128179043743,Counter-led,0.4550359712230216,0.8298507462686567,concordant,Counter-led,0.3057324840764331,0.8010204081632653,concordant
E02000485,Havering,9,0.0122075279755849,Counter-led,0.422360248447205,0.8621151271753681,concordant,Counter-led,0.4211920529801324,0.8435754189944135,concordant
E02000486,Havering,9,-0.0111902339776195,Counter-led,0.4288321167883211,0.817910447761194,concordant,Counter-led,0.3701399688958009,0.8607764390896921,concordant
E02000487,Havering,10,-0.0111902339776195,Lateral,0.4648910411622276,0.7361853832442068,concordant,Lateral,0.3655913978494624,0.6966292134831461,concordant
