msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000878,Tower Hamlets,1,2,47.6621529489553,30.5171682094684,4688.294983690382,9248.238384906992,0.1443351697460249,0.2815807570608632,0.13724558731483832,-17.1449847394869,896.0,0.0,1273,2071,3344,896.0,0.0,896.0,70.38491751767478,938.0,0.0,1469.0,1917.0,3386.0,938.0,0.0,938.0,63.852961198093936,698.0,874.0,176.0
E02000879,Tower Hamlets,2,2,39.34861742502238,30.615297000895247,4829.817256042972,7778.324082363473,0.14869211428000034,0.23682633303993034,0.08813421875993,-8.733320424127136,385.0,390.0,863,980,1843,775.0,81.47042864894195,-5.0,44.61181923522596,400.0,365.0,963.0,1040.0,2003.0,765.0,72.890664003994,35.0,41.53686396677051,362.0,496.0,134.0
E02000880,Tower Hamlets,2,2,40.22418502626134,30.80582603851663,4795.022918987745,7874.674836861372,0.14762092602018795,0.2397599207423387,0.09213899472215076,-9.418358987744707,379.0,376.0,739,961,1700,755.0,83.82588235294118,3.0,51.285520974289575,339.0,424.0,1001.0,1173.0,2174.0,763.0,66.11591536338547,-85.0,33.86613386613387,337.0,493.0,156.0
E02000881,Tower Hamlets,1,1,48.97696266502159,39.50274349167181,2807.531030228254,4800.550400987045,0.0864334409897252,0.14616217272521756,0.059728731735492355,-9.47421917334978,404.0,0.0,733,597,1330,404.0,0.0,404.0,55.11596180081856,680.0,0.0,1210.0,1097.0,2307.0,680.0,0.0,680.0,56.19834710743802,947.0,947.0,0.0
E02000882,Tower Hamlets,1,1,51.39983798259493,35.63656744462025,2157.3022151898736,5773.82110363924,0.06641531356412393,0.17579530823405307,0.10937999466992913,-15.763270537974684,456.0,0.0,702,774,1476,456.0,0.0,456.0,64.95726495726495,655.0,0.0,1113.0,839.0,1952.0,655.0,0.0,655.0,58.84995507637017,922.0,922.0,0.0
E02000883,Tower Hamlets,1,1,54.69455728634362,40.406411343612334,1502.6601321585904,4199.994933920705,0.04626131802717167,0.12787708360494168,0.08161576557777,-14.288145942731283,341.0,0.0,622,914,1536,341.0,0.0,341.0,54.82315112540193,476.0,0.0,906.0,850.0,1756.0,476.0,0.0,476.0,52.53863134657837,710.0,710.0,0.0
E02000884,Tower Hamlets,1,4,47.507542980403215,24.328616976659372,3452.07401663612,12313.76650255288,0.10627652289379103,0.37491677330875905,0.26864025041496803,-23.178926003743843,1001.0,0.0,1407,1677,3084,1001.0,0.0,1001.0,71.14427860696517,1345.0,0.0,2184.0,2575.0,4759.0,1345.0,0.0,1345.0,61.58424908424909,-296.0,711.0,1007.0
E02000885,Tower Hamlets,1,1,47.17076347220362,36.60490046885465,2917.0742129939717,5475.8727394507705,0.08980586826531531,0.16672368589242387,0.07691781762710856,-10.565863003348966,371.0,0.0,583,873,1456,371.0,0.0,371.0,63.63636363636363,376.0,0.0,716.0,785.0,1501.0,376.0,0.0,376.0,52.513966480446925,586.0,586.0,0.0
E02000886,Tower Hamlets,3,4,35.4814512160383,25.34613524835428,8126.095751047277,11151.309754637941,0.25017227236768913,0.33952349758366646,0.08935122521597733,-10.135315967684022,304.0,476.0,778,882,1660,780.0,87.1710843373494,-172.0,39.0745501285347,406.0,537.0,1426.0,1289.0,2715.0,943.0,80.30276243093923,-131.0,28.471248246844322,-50.0,413.0,463.0
E02000887,Tower Hamlets,1,2,49.43976761541471,32.65090942879499,2551.832746478873,6931.864827856025,0.07856144161316647,0.21105422079698044,0.13249277918381397,-16.78885818661972,597.0,0.0,982,937,1919,597.0,0.0,597.0,60.79429735234216,672.0,0.0,1218.0,1296.0,2514.0,672.0,0.0,672.0,55.172413793103445,397.0,605.0,208.0
