msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21
E02000034,Barnet,8,8,15.231659960872499,12.823898695749943,18686.206431302002,21466.51056892287,0.5752788138446524,0.6535900185398511,0.0783112046951987,-2.4077612651225557,128.0,293.0,698,677,1375,421.0,27.275636363636362,-165.0,18.33810888252149,136.0,303.0,630.0,690.0,1320.0,439.0,31.21818181818182,-167.0,21.58730158730159,-224.0,117.0,341.0,169.0,341.0,510.0,41.912,-172.0,24.963072378138847,182.0,285.0,467.0,39.29545454545455,-103.0,26.3768115942029
E02000035,Barnet,8,8,14.371089773708155,13.702045025078736,19454.07488627085,20556.41537384813,0.5989186283563466,0.6258803852712254,0.026961756914878787,-0.6690447486294193,228.0,345.0,811,780,1591,573.0,49.44060339409177,-117.0,28.113440197287296,181.0,314.0,821.0,829.0,1650.0,495.0,34.444848484848485,-133.0,22.0462850182704,-222.0,133.0,355.0,218.0,368.0,586.0,50.42363293526084,-150.0,27.94871794871795,237.0,374.0,611.0,53.72,-137.0,28.588661037394452
E02000036,Barnet,8,7,17.19139665259317,16.32370046042915,17393.21883415863,18552.686647554514,0.5354725335311442,0.5648729340992118,0.029400400568067586,-0.8676961921640185,145.0,389.0,747,714,1461,534.0,38.607118412046546,-244.0,19.410977242302543,99.0,267.0,584.0,627.0,1211.0,366.0,21.827415359207265,-168.0,16.95205479452055,-39.0,191.0,230.0,182.0,456.0,638.0,56.80492813141684,-274.0,25.49019607843137,142.0,328.0,470.0,38.460776218001655,-186.0,22.647527910685806
E02000037,Barnet,8,9,14.591934157948929,11.128158463756177,21401.18379324547,23855.383752059308,0.6588628715364039,0.7263239481201836,0.06746107658377976,-3.4637756941927513,146.0,331.0,689,563,1252,477.0,38.59904153354633,-185.0,21.190130624092888,108.0,221.0,625.0,521.0,1146.0,329.0,20.827225130890053,-113.0,17.28,-343.0,15.0,358.0,113.0,396.0,509.0,35.74121405750799,-283.0,20.071047957371228,88.0,262.0,350.0,20.11867364746946,-174.0,16.89059500959693
E02000038,Barnet,8,7,15.366721382371034,15.568224800070306,18088.365937252835,18505.411811231217,0.5568735280233,0.5634335589828041,0.006560030959504082,0.20150341769927138,175.0,476.0,974,850,1824,651.0,45.66885964912281,-301.0,17.967145790554415,90.0,379.0,812.0,750.0,1562.0,469.0,21.837387964148526,-289.0,11.083743842364532,-75.0,245.0,320.0,156.0,586.0,742.0,50.11842105263158,-430.0,18.352941176470587,130.0,483.0,613.0,40.19846350832266,-353.0,17.333333333333336
E02000039,Barnet,9,9,11.06532224982257,10.702963094393187,22747.783818310858,23906.30262597587,0.700319679154943,0.727874273108509,0.027554593953566076,-0.3623591554293828,19.0,378.0,467,502,969,397.0,7.411764705882353,-359.0,4.068522483940043,12.0,258.0,537.0,412.0,949.0,270.0,3.262381454162276,-246.0,2.2346368715083798,-293.0,13.0,306.0,33.0,325.0,358.0,11.06811145510836,-292.0,6.573705179282868,22.0,364.0,386.0,8.438356164383562,-342.0,5.339805825242718
E02000040,Barnet,7,7,18.07287072271745,15.441477714748785,16855.450162074554,19380.89640734738,0.518916635739011,0.5900894046811405,0.07117276894212943,-2.631393007968665,374.0,260.0,663,695,1358,634.0,71.60530191458027,114.0,56.41025641025641,333.0,144.0,791.0,492.0,1283.0,477.0,37.37490257209665,189.0,42.09860935524652,178.0,328.0,150.0,345.0,232.0,577.0,58.93961708394698,113.0,49.64028776978417,234.0,312.0,546.0,56.9041309431021,-78.0,47.5609756097561
E02000041,Barnet,7,6,17.57579503944462,18.284720521720836,16694.707794256865,16783.982539181656,0.5139679759330357,0.5110212683954957,-0.0029467075375400054,0.7089254822762143,360.0,255.0,739,622,1361,615.0,67.4504041146216,105.0,48.714479025710425,271.0,231.0,646.0,583.0,1229.0,502.0,50.93653376729048,40.0,41.95046439628483,132.0,309.0,177.0,300.0,313.0,613.0,68.99338721528288,-13.0,48.231511254019296,218.0,238.0,456.0,42.216436126932464,-20.0,37.39279588336192
E02000042,Barnet,8,8,16.528366227421298,15.162757182177877,17175.204197488387,18928.461121623946,0.5287606735265189,0.5763141250037738,0.04755345147725487,-1.3656090452434206,262.0,447.0,1199,948,2147,709.0,54.54774103400093,-185.0,21.851542952460385,166.0,406.0,1119.0,1050.0,2169.0,572.0,31.07238358690641,-240.0,14.83467381590706,-275.0,191.0,466.0,214.0,594.0,808.0,59.2063344201211,-380.0,22.573839662447256,250.0,573.0,823.0,66.04426002766252,-323.0,23.809523809523807
E02000043,Barnet,10,10,8.425965245801526,7.517256488549619,26086.581043256996,27598.532442748092,0.8031088308372945,0.8402914517947903,0.037182620957495804,-0.9087087572519073,0.0,568.0,603,641,1244,568.0,0.0,-568.0,0.0,0.0,442.0,518.0,499.0,1017.0,442.0,0.0,-442.0,0.0,-440.0,0.0,440.0,0.0,582.0,582.0,0.0,-582.0,0.0,0.0,459.0,459.0,0.0,-459.0,0.0
