msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000069,Bexley,7,-0.0437881873727088,Counter-led,0.4613180515759312,0.9900709219858156,concordant,Counter-led,0.4066523605150214,0.9810526315789474,concordant
E02000070,Bexley,8,-0.0376782077393075,Counter-led,0.3940677966101695,0.9042145593869731,concordant,Counter-led,0.415625,0.8864265927977839,concordant
E02000071,Bexley,8,-0.0947046843177189,Counter-led,0.4578313253012048,0.8634590377113134,concordant,Symmetric,0.4883359253499222,0.8905817174515236,concordant
E02000072,Bexley,3,-0.0957230142566191,Counter-led,0.4626278520849725,0.9414814814814816,concordant,Symmetric,0.5055225148683092,0.9060816012317168,concordant
E02000073,Bexley,10,-0.0132382892057026,Counter-led,0.4085173501577287,0.8180645161290323,concordant,Counter-led,0.4392523364485981,0.8262548262548263,concordant
E02000074,Bexley,4,-0.130346232179226,Symmetric,0.4874651810584958,0.8692493946731235,concordant,Counter-led,0.4712837837837837,0.8744460856720827,concordant
E02000075,Bexley,10,-0.0112016293279021,Lateral,0.4418604651162791,0.7724550898203593,concordant,Counter-led,0.4637404580152672,0.8073959938366718,concordant
E02000077,Bexley,8,0.0061099796334012,Counter-led,0.4483925549915397,0.8323943661971831,divergent,Counter-led,0.345679012345679,0.8847087378640777,concordant
E02000078,Bexley,9,-0.0183299389002036,Counter-led,0.4224719101123595,0.8725490196078431,concordant,Counter-led,0.4314814814814814,0.8571428571428571,concordant
E02000079,Bexley,9,-0.0427698574338084,Counter-led,0.4168591224018476,0.8616915422885573,concordant,Counter-led,0.3996194100856327,0.8700331125827815,concordant
E02000080,Bexley,9,-0.0346232179226069,Counter-led,0.4518430439952438,0.8871308016877637,concordant,Counter-led,0.448318804483188,0.8709327548806941,concordant
E02000081,Bexley,8,-0.1089613034623218,Counter-led,0.4104729729729729,0.8680351906158358,divergent,Counter-led,0.421636615811373,0.904642409033877,divergent
E02000082,Bexley,10,-0.0040733197556007,Counter-led,0.4759535655058043,0.8061497326203209,concordant,Counter-led,0.3989637305699481,0.8596881959910914,concordant
E02000083,Bexley,6,-0.0936863543788187,Symmetric,0.50480109739369,0.943078913324709,divergent,Counter-led,0.4605263157894737,0.937219730941704,divergent
E02000084,Bexley,10,-0.0336048879837066,Lateral,0.4654919236417034,0.75,concordant,Lateral,0.384418901660281,0.7853560682046138,concordant
E02000085,Bexley,9,-0.0417515274949082,Counter-led,0.4486404833836858,0.8112745098039216,concordant,Counter-led,0.4600591715976331,0.7990543735224587,concordant
E02000086,Bexley,10,-0.0264765784114052,Lateral,0.4375,0.7272727272727273,concordant,Lateral,0.4716312056737589,0.7844228094575799,concordant
E02000087,Bexley,10,-0.0356415478615071,Lateral,0.4407484407484408,0.7321156773211568,concordant,Lateral,0.3964497041420118,0.7232524964336662,concordant
E02000088,Bexley,10,-0.0091649694501018,Symmetric,0.4911971830985915,0.7867036011080333,concordant,Lateral,0.4313346228239845,0.7312588401697313,concordant
E02000089,Bexley,10,-0.0264765784114052,Lateral,0.4612612612612612,0.7581967213114754,concordant,Lateral,0.3612774451097804,0.7828125,concordant
E02000090,Bexley,9,-0.0285132382892057,Counter-led,0.441207075962539,0.7870597870597871,concordant,Lateral,0.4247211895910781,0.7729885057471264,concordant
E02000091,Bexley,9,-0.0468431771894093,Lateral,0.4647122692725298,0.7824978759558199,concordant,Lateral,0.4244244244244244,0.78046875,concordant
E02000092,Bexley,4,-0.1537678207739307,Cascade-led,0.5236294896030246,0.8787375415282392,concordant,Cascade-led,0.5589941972920697,0.9298561151079136,concordant
E02000093,Brent,6,-0.0030549898167006,Counter-led,0.445583596214511,0.8464619492656876,divergent,Counter-led,0.4595827900912647,0.8666666666666667,divergent
E02000094,Brent,5,0.0641547861507128,Lateral,0.4375667022411953,0.7636511817440913,concordant,Counter-led,0.427536231884058,0.8002577319587629,concordant
E02000095,Brent,5,0.1130346232179225,Counter-led,0.4792792792792792,0.8026030368763557,concordant,Counter-led,0.4456342668863262,0.8241683638832314,concordant
E02000096,Brent,8,0.0692464358452138,Symmetric,0.4974146845915201,0.8314703353396389,concordant,Counter-led,0.4715909090909091,0.8036529680365296,concordant
E02000097,Brent,6,0.0376782077393075,Symmetric,0.4985700667302192,0.8521527213647441,concordant,Counter-led,0.4324586977648202,0.8238590872698158,concordant
E02000098,Brent,5,-0.0295315682281059,Counter-led,0.4137645107794361,0.8340248962655602,concordant,Counter-led,0.4203168685927306,0.8317829457364341,concordant
E02000099,Brent,6,0.0621181262729124,Counter-led,0.4752851711026616,0.8386479591836735,concordant,Counter-led,0.4114544084400904,0.8324968632371392,concordant
E02000100,Brent,8,0.0733197556008147,Cascade-led,0.5932642487046632,0.8853211009174312,concordant,Cascade-led,0.591701244813278,0.8789204959883297,concordant
E02000101,Brent,2,0.1232179226069246,Counter-led,0.4780553679945982,0.9769129287598944,concordant,Counter-led,0.4691091954022988,0.9626556016597512,concordant
E02000102,Brent,3,-0.0916496945010183,Counter-led,0.4452173913043478,0.8493353028064993,concordant,Counter-led,0.3713713713713714,0.883289124668435,concordant
