msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000919,Waltham Forest,3,5,33.17806229150851,21.244702415150545,281.0,481.0,0.2861507128309572,0.48981670061099797,0.20366598778004075,-11.933359876357965,197.0,471.0,1087,1116,2203,668.0,42.118474807081256,-274.0,18.12327506899724,241.0,494.0,983,1155,2138,735.0,55.684752104770816,-253.0,24.51678535096643,371.0,622.0,993.0,104.74897866545619,-251.0,33.24372759856631,430.0,491.0,921.0,98.75116931711881,-61.0,37.22943722943723,-501.0,212.0,713.0
E02000920,Waltham Forest,2,3,37.975616781306044,27.823772880015813,168.0,268.0,0.1710794297352342,0.2729124236252546,0.10183299389002037,-10.151843901290231,549.0,208.0,1038,1188,2226,757.0,51.299191374663074,341.0,52.89017341040463,499.0,215.0,939,1078,2017,714.0,53.1903817550818,284.0,53.1416400425985,733.0,255.0,988.0,83.96900269541779,478.0,61.7003367003367,655.0,232.0,887.0,75.33961328705999,423.0,60.76066790352505,250.0,530.0,280.0
E02000921,Waltham Forest,2,2,42.69199645395873,30.606850022094566,100.0,186.0,0.10183299389002037,0.1894093686354379,0.08757637474541752,-12.085146431864164,519.0,229.0,1005,1211,2216,748.0,53.63312274368231,290.0,51.64179104477612,530.0,214.0,1024,1080,2104,744.0,53.90684410646388,316.0,51.7578125,722.0,251.0,973.0,81.778880866426,471.0,59.62014863748968,676.0,289.0,965.0,92.85361216730038,387.0,62.59259259259259,584.0,709.0,125.0
E02000922,Waltham Forest,3,4,34.73163178466216,23.84354484097633,237.0,391.0,0.24134419551934827,0.3981670061099796,0.15682281059063136,-10.888086943685831,604.0,530.0,1462,1234,2696,1134.0,118.73887240356083,74.0,41.313269493844054,235.0,473.0,993,1057,2050,708.0,54.22195121951219,-238.0,23.66565961732125,368.0,619.0,987.0,84.49258160237389,-251.0,29.821717990275527,351.0,532.0,883.0,91.08878048780488,-181.0,33.207190160832546,-211.0,293.0,504.0
E02000923,Wandsworth,7,8,17.782273660690393,12.64306568690096,681.0,771.0,0.6934826883910387,0.785132382892057,0.09164969450101834,-5.139207973789434,283.0,637.0,989,911,1900,920.0,94.87947368421052,-354.0,28.61476238624874,257.0,715.0,1010,1044,2054,972.0,89.4620253164557,-458.0,25.445544554455445,216.0,611.0,827.0,69.46105263157895,-395.0,23.71020856201976,254.0,683.0,937.0,84.460564751704,-429.0,24.32950191570881,-530.0,186.0,716.0
E02000924,Wandsworth,3,4,33.24279213884635,26.941605625717568,279.0,301.0,0.28411405295315684,0.3065173116089613,0.022403258655804448,-6.30118651312878,916.0,200.0,1281,1277,2558,1116.0,71.61845191555904,716.0,71.50663544106168,2050.0,284.0,2873,1933,4806,2334.0,121.14024136496046,1766.0,71.3539853811347,953.0,224.0,1177.0,83.45269741985926,729.0,74.62803445575568,1456.0,530.0,1986.0,160.5659592176446,926.0,75.32333160889809,1383.0,1769.0,386.0
E02000925,Wandsworth,2,4,36.600221875637104,26.599962948912495,192.0,309.0,0.1955193482688391,0.31466395112016293,0.11914460285132383,-10.000258926724609,665.0,15.0,732,743,1475,680.0,6.762711864406779,650.0,90.84699453551912,768.0,41.0,872,881,1753,809.0,17.962350256702795,727.0,88.07339449541286,681.0,17.0,698.0,7.848813559322034,664.0,91.65545087483177,775.0,45.0,820.0,19.89446662863662,730.0,87.96821793416572,434.0,601.0,167.0
E02000926,Wandsworth,6,7,23.846716848298335,15.821903371011304,498.0,670.0,0.5071283095723014,0.6822810590631364,0.17515274949083504,-8.024813477287031,431.0,469.0,1216,1142,2358,900.0,85.72476675148431,-38.0,35.444078947368425,591.0,670.0,1690,1467,3157,1261.0,125.42603737725689,-79.0,34.97041420118343,504.0,566.0,1070.0,120.97709923664122,-62.0,44.13309982486865,550.0,825.0,1375.0,143.72822299651568,-275.0,37.49147920927062,-134.0,608.0,742.0
E02000927,Wandsworth,5,5,28.09808683799705,22.187760243632336,409.0,449.0,0.4164969450101833,0.45723014256619143,0.04073319755600813,-5.910326594364715,455.0,328.0,848,1001,1849,783.0,80.71389940508382,127.0,53.655660377358494,478.0,383.0,948,999,1947,861.0,94.02876219825373,95.0,50.42194092827004,532.0,282.0,814.0,81.13791238507301,250.0,53.14685314685315,501.0,326.0,827.0,83.88597842835131,175.0,50.150150150150154,178.0,539.0,361.0
E02000928,Wandsworth,9,9,11.839476430480019,9.812317584080064,837.0,867.0,0.8523421588594705,0.8828920570264766,0.03054989816700604,-2.0271588463999546,53.0,617.0,854,888,1742,670.0,18.772101033295062,-564.0,6.206088992974239,58.0,664.0,987,929,1916,722.0,20.100208768267223,-606.0,5.8763931104356635,115.0,669.0,784.0,44.16475315729047,-554.0,12.950450450450452,113.0,772.0,885.0,45.53027139874739,-659.0,12.16361679224973,-420.0,115.0,535.0
E02000929,Wandsworth,2,2,39.80228946269067,33.281182833310915,140.0,116.0,0.1425661914460285,0.11812627291242363,-0.024439918533604874,-6.521106629379759,649.0,29.0,706,793,1499,678.0,12.555703802535023,620.0,91.92634560906515,778.0,31.0,901,958,1859,809.0,12.973641742872513,747.0,86.34850166481687,709.0,11.0,720.0,5.202801867911941,698.0,89.40731399747793,865.0,44.0,909.0,20.473372781065088,821.0,90.29227557411274,749.0,783.0,34.0
E02000930,Wandsworth,6,8,21.582233989251755,14.546327584582038,574.0,715.0,0.5845213849287169,0.7281059063136456,0.14358452138492872,-7.035906404669717,621.0,707.0,1523,1709,3232,1328.0,135.84375,-86.0,40.77478660538411,638.0,873.0,1767,1948,3715,1511.0,149.9257065948856,-235.0,36.106395019807586,691.0,613.0,1304.0,131.05909653465346,78.0,40.433001755412526,692.0,830.0,1522.0,154.6056527590848,-138.0,35.52361396303901,-758.0,440.0,1198.0
E02000931,Wandsworth,9,10,12.612734629218787,7.606388871224165,817.0,931.0,0.8319755600814664,0.9480651731160896,0.11608961303462317,-5.006345757994622,40.0,1065.0,1073,1231,2304,1105.0,18.489583333333332,-1025.0,3.727865796831314,42.0,1142.0,1297,1328,2625,1184.0,18.272,-1100.0,3.2382420971472627,51.0,923.0,974.0,20.430989583333332,-872.0,4.1429731925264015,42.0,1167.0,1209.0,18.672,-1125.0,3.1626506024096384,-1144.0,0.0,1144.0
E02000932,Wandsworth,8,9,13.99527605663073,11.198798954416215,776.0,818.0,0.790224032586558,0.8329938900203666,0.04276985743380857,-2.7964771022145154,426.0,832.0,1664,1598,3262,1258.0,108.65481299816064,-406.0,25.600961538461537,477.0,1012.0,2171,1809,3980,1489.0,121.28743718592965,-535.0,21.971441731920773,538.0,945.0,1483.0,155.85836909871244,-407.0,33.66708385481852,505.0,1380.0,1885.0,175.10050251256283,-875.0,27.91597567716971,-940.0,256.0,1196.0
E02000933,Wandsworth,9,9,12.473283454504044,10.54486037126715,823.0,842.0,0.8380855397148677,0.8574338085539714,0.019348268839103788,-1.9284230832368934,83.0,688.0,1017,1076,2093,771.0,27.283325370281894,-605.0,8.16125860373648,91.0,698.0,992,989,1981,789.0,32.063604240282686,-607.0,9.173387096774194,169.0,743.0,912.0,59.993788819875775,-574.0,15.706319702602231,119.0,741.0,860.0,44.512367491166074,-622.0,12.032355915065724,-489.0,142.0,631.0
E02000934,Wandsworth,6,9,21.730415478308622,12.087714913625678,573.0,788.0,0.5835030549898167,0.8024439918533605,0.21894093686354377,-9.642700564682944,609.0,489.0,1325,1401,2726,1098.0,109.24468085106383,120.0,45.96226415094339,610.0,633.0,1555,1534,3089,1243.0,125.00161864681127,-23.0,39.228295819935695,704.0,482.0,1186.0,124.47835656639765,222.0,50.24982155603141,688.0,641.0,1329.0,142.76723858853998,47.0,44.85006518904824,-879.0,217.0,1096.0
E02000935,Wandsworth,3,3,33.87002287445255,28.712944420813837,262.0,243.0,0.2668024439918534,0.24745417515274948,-0.0193482688391039,-5.157078453638714,537.0,82.0,801,1016,1817,619.0,24.234452394056138,455.0,67.04119850187266,467.0,56.0,706,724,1430,523.0,18.28811188811189,411.0,66.14730878186968,620.0,101.0,721.0,34.46340121078701,519.0,61.023622047244096,488.0,96.0,584.0,32.76083916083916,392.0,67.40331491712708,372.0,449.0,77.0
E02000936,Wandsworth,8,8,16.845029829531814,12.45230757008285,707.0,780.0,0.719959266802444,0.7942973523421588,0.07433808553971477,-4.3927222594489646,316.0,629.0,1209,1190,2399,945.0,82.85285535639849,-313.0,26.1373035566584,374.0,751.0,1419,1394,2813,1125.0,99.8485602559545,-377.0,26.356589147286826,380.0,677.0,1057.0,107.23634847853272,-297.0,31.932773109243694,420.0,794.0,1214.0,118.54959118378954,-374.0,30.129124820659968,-157.0,541.0,698.0
E02000937,Wandsworth,8,10,14.351434181771102,9.17311016743509,767.0,890.0,0.7810590631364562,0.9063136456211812,0.12525458248472499,-5.178324014336013,236.0,571.0,963,950,1913,807.0,70.44223732357554,-335.0,24.5067497403946,186.0,551.0,901,901,1802,737.0,56.873473917869035,-365.0,20.643729189789124,235.0,578.0,813.0,71.00365917407214,-343.0,24.736842105263158,214.0,617.0,831.0,73.27302996670366,-403.0,23.751387347391788,-741.0,0.0,741.0
