msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Delta_Net_Cascade,Delta_CFI_Churn,Delta_CFI_Rate,Delta_Pct_Inflow_Wealthier,Delta_Net_Counter,Delta_Counter_Churn,Delta_Counter_Rate,Delta_Pct_Outflow_Wealthier,Cascade_Dominance_11,Cross_Decile_Share_11,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_11,Sign_Concordance_21,Delta_Cascade_Dominance,Delta_Cross_Decile_Share
E02000759,Redbridge,7,7,19.176955022334777,15.525825505395956,637.0,681.0,0.6480162767039674,0.6927772126144456,0.0447609359104781,-3.651129516938816,252.0,303.0,762,689,1451,555.0,52.62301860785665,-51.0,33.07086614173229,228.0,365.0,771.0,735.0,1506.0,593.0,55.2589641434263,-137.0,29.571984435797667,260.0,416.0,676.0,74.54169538249484,-156.0,37.735849056603776,269.0,422.0,691.0,75.37715803452855,-153.0,36.59863945578231,-126.0,233.0,359.0,-86.0,38.0,2.635945535569647,-3.4988817059346218,3.0,15.0,0.8354626520337121,-1.137209600821464,0.45085296506904954,0.8483804272915231,0.4618380062305296,0.852589641434263,concordant,concordant,0.01098504116148008,0.004209214142739892
E02000760,Redbridge,7,6,21.020518505102775,19.826413208076275,594.0,538.0,0.6042726347914548,0.5473041709053916,-0.0569684638860631,-1.1941052970264998,115.0,176.0,467,376,843,291.0,24.009489916963226,-61.0,24.62526766595289,66.0,217.0,439.0,445.0,884.0,283.0,16.20135746606335,-151.0,15.034168564920272,54.0,238.0,292.0,15.245551601423488,-184.0,14.361702127659576,109.0,241.0,350.0,29.716063348416288,-132.0,24.49438202247191,42.0,219.0,177.0,-90.0,-8.0,-7.808132450899876,-9.591099101032619,52.0,58.0,14.4705117469928,10.132679894812334,0.49914236706689535,0.6915776986951364,0.4470774091627172,0.7160633484162896,concordant,concordant,-0.052064957904178144,0.02448564972115319
E02000762,Redbridge,9,9,12.728988661685214,10.2111995763353,814.0,855.0,0.8280773143438453,0.8697863682604272,0.0417090539165818,-2.5177890853499143,4.0,335.0,372,382,754,339.0,1.7771883289124668,-331.0,1.0752688172043012,3.0,332.0,322.0,367.0,689.0,335.0,1.4455732946298985,-329.0,0.9316770186335404,16.0,360.0,376.0,7.639257294429708,-344.0,4.18848167539267,19.0,318.0,337.0,8.76923076923077,-299.0,5.177111716621254,-300.0,2.0,302.0,2.0,-4.0,-0.33161503428256833,-0.14359179857076088,45.0,-39.0,1.1299734748010621,0.9886300412285838,0.47412587412587415,0.9482758620689655,0.49851190476190477,0.9753265602322206,concordant,concordant,0.02438603063603062,0.027050698163255116
E02000763,Redbridge,6,7,21.29570971709007,17.387972435545805,584.0,616.0,0.5940996948118006,0.6266531027466938,0.0325534079348932,-3.907737281544264,192.0,183.0,449,457,906,375.0,38.78145695364238,9.0,42.76169265033408,183.0,171.0,508.0,477.0,985.0,354.0,31.76954314720812,12.0,36.023622047244096,249.0,213.0,462.0,58.53973509933775,36.0,54.48577680525164,237.0,267.0,504.0,64.24263959390863,-30.0,49.685534591194966,-148.0,66.0,214.0,3.0,-21.0,-7.011913806434265,-6.738070603089987,-66.0,42.0,5.7029044945708876,-4.800242214056674,0.44802867383512546,0.9238410596026491,0.4125874125874126,0.8710659898477158,concordant,divergent,-0.03544126124771285,-0.05277506975493329
E02000764,Redbridge,8,9,14.618990114285715,11.069743743025668,762.0,828.0,0.775178026449644,0.8423194303153612,0.0671414038657172,-3.5492463712600486,184.0,559.0,988,842,1830,743.0,56.20546448087432,-375.0,18.62348178137652,151.0,540.0,857.0,768.0,1625.0,691.0,50.17846153846154,-389.0,17.6196032672112,224.0,749.0,973.0,91.68087431693988,-525.0,26.60332541567696,171.0,668.0,839.0,70.29415384615385,-497.0,22.265625,-524.0,56.0,580.0,-14.0,-52.0,-6.0270029424127785,-1.0038785141653186,28.0,-134.0,-21.38672047078603,-4.337700415676959,0.432983682983683,0.9377049180327869,0.4516339869281046,0.9415384615384615,concordant,concordant,0.018650303944421576,0.0038335435056746636
E02000765,Redbridge,8,8,15.24584731286596,12.99657680060652,745.0,758.0,0.757884028484232,0.7711088504577823,0.0132248219735503,-2.2492705122594394,37.0,400.0,525,502,1027,437.0,14.410905550146056,-363.0,7.0476190476190474,34.0,413.0,517.0,519.0,1036.0,447.0,13.554054054054054,-379.0,6.5764023210831715,63.0,463.0,526.0,28.402142161635833,-400.0,12.549800796812749,68.0,448.0,516.0,29.405405405405407,-380.0,13.102119460500964,-364.0,47.0,411.0,-16.0,10.0,-0.856851496092002,-0.471216726535876,20.0,-10.0,1.0032632437695739,0.5523186636882151,0.4537902388369678,0.937682570593963,0.46417445482866043,0.9295366795366795,concordant,concordant,0.010384215991692647,-0.008145891057283472
E02000767,Redbridge,7,7,18.503202819065127,15.670712389929308,660.0,673.0,0.671414038657172,0.6846388606307223,0.0132248219735503,-2.83249042913582,66.0,268.0,520,505,1025,334.0,17.25658536585366,-202.0,12.692307692307692,92.0,274.0,611.0,519.0,1130.0,366.0,22.30796460176991,-182.0,15.057283142389524,108.0,335.0,443.0,35.297560975609755,-227.0,21.386138613861387,150.0,416.0,566.0,55.2212389380531,-266.0,28.901734104046245,-152.0,94.0,246.0,20.0,32.0,5.051379235916251,2.3649754500818325,-39.0,123.0,19.923677962443342,7.515595490184857,0.42985842985842987,0.7580487804878049,0.3927038626609442,0.8247787610619469,concordant,concordant,-0.037154567197485666,0.06672998057414203
E02000768,Redbridge,9,10,12.22209058869258,9.023436525612471,829.0,893.0,0.8433367243133265,0.9084435401831128,0.0651068158697864,-3.1986540630801077,3.0,346.0,386,396,782,349.0,1.3273657289002558,-343.0,0.7772020725388601,10.0,293.0,319.0,320.0,639.0,303.0,4.58528951486698,-283.0,3.1347962382445136,14.0,357.0,371.0,6.391304347826087,-343.0,3.535353535353535,11.0,280.0,291.0,4.820031298904539,-269.0,3.4375000000000004,-311.0,0.0,311.0,60.0,-46.0,3.2579237859667236,2.3575941657056534,74.0,-80.0,-1.5712730489215483,-0.09785353535353458,0.4847222222222222,0.9207161125319693,0.51010101010101,0.9295774647887324,concordant,concordant,0.025378787878787834,0.0088613522567631
E02000769,Redbridge,7,7,18.654217269087027,16.92342864312151,652.0,630.0,0.6632756866734486,0.6408952187182095,-0.022380467955239,-1.7307886259655163,116.0,576.0,1146,845,1991,692.0,33.55901557006529,-460.0,10.12216404886562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,898.0,1040.0,64.0462079357107,-756.0,16.80473372781065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,-692.0,-33.55901557006529,-10.12216404886562,756.0,-1040.0,-64.0462079357107,-16.80473372781065,0.3995381062355658,0.8699146157709694,0.5,0.0,concordant,zero,0.1004618937644342,-0.8699146157709694
E02000770,Redbridge,7,7,20.04266230362338,15.911643386509231,616.0,668.0,0.6266531027466938,0.6795523906408952,0.0528992878942014,-4.131018917114149,35.0,301.0,525,482,1007,336.0,10.461767626613703,-266.0,6.666666666666667,45.0,318.0,461.0,517.0,978.0,363.0,14.631901840490798,-273.0,9.761388286334055,71.0,409.0,480.0,28.837140019860975,-338.0,14.730290456431536,98.0,335.0,433.0,33.56850715746421,-237.0,18.95551257253385,-231.0,47.0,278.0,-7.0,27.0,4.170134213877095,3.0947216196673883,101.0,-47.0,4.731367137603236,4.225222116102312,0.4117647058823529,0.8103277060575969,0.45603015075376885,0.8139059304703476,concordant,concordant,0.04426544487141593,0.0035782244127507967
